next,productId,year,month,units,avg,count,max,min,prev,price,color,size,shape,agram,bgram,ygram,zgram
428,107,2017,5,33,8,4,20,1,75,0.42,brown-colouring,,,pencils,,,
642,107,2017,6,428,28,15,102,2,33,0.42,brown-colouring,,,pencils,,,
640,107,2017,7,642,37,17,100,2,428,0.42,brown-colouring,,,pencils,,,
193,107,2017,8,640,42,15,140,2,642,0.42,brown-colouring,,,pencils,,,
263,108,2017,1,400,40,10,110,2,366,1.25,brown-colouring,,,pencils,,,
117,108,2017,2,263,43,6,200,3,400,1.25,brown-colouring,,,pencils,,,
30,108,2017,3,117,14,8,60,1,263,1.25,brown-colouring,,,pencils,,,
8,108,2017,4,30,7,4,14,3,117,1.25,brown-colouring,,,pencils,,,
35,108,2017,5,8,4,2,6,2,30,1.25,brown-colouring,,,pencils,,,
177,108,2017,6,35,5,7,10,1,8,1.25,brown-colouring,,,pencils,,,
152,108,2017,7,177,19,9,100,1,35,1.25,brown-colouring,,,pencils,,,
68,108,2017,8,152,38,4,100,2,177,1.25,brown-colouring,,,pencils,,,
69,108,2017,9,68,8,8,20,1,152,1.25,brown-colouring,,,pencils,,,
165,108,2017,10,69,7,9,21,1,68,1.25,brown-colouring,,,pencils,,,
16,109,2017,1,32,32,1,32,32,65,3.29,,,,racing,car,,pen
49,109,2017,2,16,16,1,16,16,32,3.29,,,,racing,car,,pen
35,109,2017,3,49,16,3,32,1,16,3.29,,,,racing,car,,pen
96,109,2017,4,35,11,3,16,3,49,3.29,,,,racing,car,,pen
96,109,2017,5,96,24,4,32,16,35,3.29,,,,racing,car,,pen
53,109,2017,6,96,19,5,32,16,96,3.29,,,,racing,car,,pen
498,109,2017,7,53,13,4,16,5,96,3.29,,,,racing,car,,pen
79,109,2017,8,498,99,5,384,2,53,3.29,,,,racing,car,,pen
112,109,2017,9,79,9,8,16,1,498,3.29,,,,racing,car,,pen
101,109,2017,10,112,12,9,48,1,79,3.29,,,,racing,car,,pen
89,110,2017,6,10,10,1,10,10,5,0.29,black,,,fan,,,frame
2,110,2017,7,89,22,4,60,4,10,0.29,black,,,fan,,,frame
3,110,2017,8,2,2,1,2,2,89,0.29,black,,,fan,,,frame
10,110,2017,9,3,3,1,3,3,2,0.29,black,,,fan,,,frame
22,110,2017,10,10,10,1,10,10,3,0.29,black,,,fan,,,frame
72,111,2017,1,168,168,1,168,168,38,0.14,,pocket,,paper,traveling,,fan
96,111,2017,2,72,36,2,48,24,168,0.14,,pocket,,paper,traveling,,fan
540,111,2017,3,96,24,4,48,12,72,0.14,,pocket,,paper,traveling,,fan
816,111,2017,4,540,77,7,240,12,96,0.14,,pocket,,paper,traveling,,fan
1620,111,2017,5,816,74,11,300,12,540,0.14,,pocket,,paper,traveling,,fan
205,111,2017,6,1620,180,9,1248,12,816,0.14,,pocket,,paper,traveling,,fan
108,111,2017,7,205,34,6,96,1,1620,0.14,,pocket,,paper,traveling,,fan
387,111,2017,8,108,21,5,24,12,205,0.14,,pocket,,paper,traveling,,fan
1788,111,2017,9,387,35,11,168,3,108,0.14,,pocket,,paper,traveling,,fan
557,111,2017,10,1788,298,6,1200,24,387,0.14,,pocket,,paper,traveling,,fan
2172,112,2017,1,912,101,9,636,12,132,0.83,colours,,,silk,,,fan
2912,112,2017,2,2172,167,13,1212,12,912,0.83,colours,,,silk,,,fan
1900,112,2017,3,2912,224,13,1200,12,2172,0.83,colours,,,silk,,,fan
3888,112,2017,4,1900,118,16,684,1,2912,0.83,colours,,,silk,,,fan
3096,112,2017,5,3888,185,21,828,12,1900,0.83,colours,,,silk,,,fan
3384,112,2017,6,3096,140,22,996,12,3888,0.83,colours,,,silk,,,fan
1212,112,2017,7,3384,199,17,1812,12,3096,0.83,colours,,,silk,,,fan
444,112,2017,8,1212,75,16,732,12,3384,0.83,colours,,,silk,,,fan
1212,112,2017,9,444,31,14,120,12,1212,0.83,colours,,,silk,,,fan
564,112,2017,10,1212,75,16,600,12,444,0.83,colours,,,silk,,,fan
8,113,2017,1,18,6,3,10,4,17,0.85,,,,sandalwood,,,fan
52,113,2017,3,8,4,2,6,2,18,0.85,,,,sandalwood,,,fan
574,113,2017,4,52,8,6,24,1,8,0.85,,,,sandalwood,,,fan
405,113,2017,5,574,57,10,300,4,52,0.85,,,,sandalwood,,,fan
204,113,2017,6,405,45,9,250,5,574,0.85,,,,sandalwood,,,fan
65,113,2017,7,204,51,4,102,10,405,0.85,,,,sandalwood,,,fan
56,113,2017,8,65,9,7,20,2,204,0.85,,,,sandalwood,,,fan
112,113,2017,9,56,9,6,48,1,65,0.85,,,,sandalwood,,,fan
46,113,2017,10,112,37,3,50,12,56,0.85,,,,sandalwood,,,fan
9,114,2017,1,20,6,3,18,1,6,5.79,pink,,,paper,,,parasol
93,114,2017,2,9,3,3,7,1,20,5.79,pink,,,paper,,,parasol
39,114,2017,3,93,11,8,50,1,9,5.79,pink,,,paper,,,parasol
68,114,2017,4,39,5,7,7,2,93,5.79,pink,,,paper,,,parasol
57,114,2017,5,68,6,10,18,1,39,5.79,pink,,,paper,,,parasol
44,114,2017,6,57,4,12,9,1,68,5.79,pink,,,paper,,,parasol
19,114,2017,7,44,8,5,12,6,57,5.79,pink,,,paper,,,parasol
29,114,2017,8,19,4,4,6,1,44,5.79,pink,,,paper,,,parasol
3,114,2017,9,29,9,3,18,5,19,5.79,pink,,,paper,,,parasol
33,114,2017,10,3,3,1,3,3,29,5.79,pink,,,paper,,,parasol
14,115,2017,1,24,12,2,18,6,2,2.95,blue,,,paper,,,parasol
68,115,2017,2,14,4,3,12,1,24,2.95,blue,,,paper,,,parasol
24,115,2017,3,68,17,4,50,6,14,2.95,blue,,,paper,,,parasol
109,115,2017,4,24,4,6,6,1,68,2.95,blue,,,paper,,,parasol
35,115,2017,5,109,9,12,51,1,24,2.95,blue,,,paper,,,parasol
25,115,2017,6,35,4,8,9,1,109,2.95,blue,,,paper,,,parasol
6,115,2017,7,25,6,4,8,5,35,2.95,blue,,,paper,,,parasol
78,116,2017,2,8,4,2,6,2,7,2.95,purple,,,paper,,,parasol
9,116,2017,3,78,15,5,50,1,8,2.95,purple,,,paper,,,parasol
31,116,2017,4,9,2,4,6,1,78,2.95,purple,,,paper,,,parasol
39,116,2017,5,31,4,7,8,1,9,2.95,purple,,,paper,,,parasol
28,116,2017,6,39,4,9,8,1,31,2.95,purple,,,paper,,,parasol
13,116,2017,7,28,5,5,12,1,39,2.95,purple,,,paper,,,parasol
29,116,2017,8,13,4,3,6,1,28,2.95,purple,,,paper,,,parasol
5,116,2017,9,29,5,5,12,1,13,2.95,purple,,,paper,,,parasol
17,116,2017,10,5,2,2,4,1,29,2.95,purple,,,paper,,,parasol
132,117,2017,2,6,6,1,6,6,32,2.95,red,,,paper,,,parasol
27,117,2017,3,132,18,7,51,1,6,2.95,red,,,paper,,,parasol
66,117,2017,4,27,3,9,6,1,132,2.95,red,,,paper,,,parasol
34,117,2017,5,66,6,10,21,1,27,2.95,red,,,paper,,,parasol
103,117,2017,6,34,4,8,12,1,66,2.95,red,,,paper,,,parasol
19,117,2017,7,103,14,7,70,1,34,2.95,red,,,paper,,,parasol
101,117,2017,8,19,9,2,18,1,103,2.95,red,,,paper,,,parasol
78,117,2017,9,101,16,6,75,1,19,2.95,red,,,paper,,,parasol
24,117,2017,10,78,26,3,72,1,101,2.95,red,,,paper,,,parasol
115,118,2017,1,189,12,15,72,1,171,5.95,black,,edwardian,parasol,,,
120,118,2017,2,115,8,14,51,1,189,5.95,black,,edwardian,parasol,,,
62,118,2017,3,120,12,10,36,1,115,5.95,black,,edwardian,parasol,,,
195,118,2017,4,62,5,11,24,1,120,5.95,black,,edwardian,parasol,,,
141,118,2017,5,195,15,13,63,1,62,5.95,black,,edwardian,parasol,,,
514,118,2017,6,141,9,15,33,1,195,5.95,black,,edwardian,parasol,,,
215,118,2017,7,514,27,19,120,1,141,5.95,black,,edwardian,parasol,,,
259,118,2017,8,215,12,17,60,1,514,5.95,black,,edwardian,parasol,,,
548,118,2017,9,259,12,21,62,2,215,5.95,black,,edwardian,parasol,,,
165,118,2017,10,548,28,19,183,1,259,5.95,black,,edwardian,parasol,,,
257,119,2017,1,132,8,16,34,1,120,5.95,,,edwardian,parasol,,,
472,119,2017,2,257,13,19,128,1,132,5.95,,,edwardian,parasol,,,
169,119,2017,3,472,22,21,158,1,257,5.95,,,edwardian,parasol,,,
337,119,2017,4,169,9,17,60,1,472,5.95,,,edwardian,parasol,,,
383,119,2017,5,337,21,16,73,1,169,5.95,,,edwardian,parasol,,,
684,119,2017,6,383,18,21,124,1,337,5.95,,,edwardian,parasol,,,
413,119,2017,7,684,36,19,128,2,383,5.95,,,edwardian,parasol,,,
338,119,2017,8,413,22,18,63,1,684,5.95,,,edwardian,parasol,,,
269,119,2017,9,338,16,20,66,1,413,5.95,,,edwardian,parasol,,,
157,119,2017,10,269,14,18,64,1,338,5.95,,,edwardian,parasol,,,
25,120,2017,1,15,3,5,4,1,71,5.95,pink,,edwardian,parasol,,,
36,120,2017,2,25,3,7,7,1,15,5.95,pink,,edwardian,parasol,,,
92,120,2017,3,36,5,7,12,1,25,5.95,pink,,edwardian,parasol,,,
76,120,2017,4,92,10,9,60,1,36,5.95,pink,,edwardian,parasol,,,
28,120,2017,5,76,12,6,60,1,92,5.95,pink,,edwardian,parasol,,,
143,120,2017,6,28,4,7,9,1,76,5.95,pink,,edwardian,parasol,,,
79,120,2017,7,143,11,13,72,1,28,5.95,pink,,edwardian,parasol,,,
48,120,2017,8,79,8,9,51,1,143,5.95,pink,,edwardian,parasol,,,
49,120,2017,9,48,3,14,12,1,79,5.95,pink,,edwardian,parasol,,,
85,120,2017,10,49,4,10,29,1,48,5.95,pink,,edwardian,parasol,,,
12,121,2017,3,8,2,4,4,1,1,7.95,blue,,polkadot,garden,,,parasol
36,121,2017,4,12,2,5,6,1,8,7.95,blue,,polkadot,garden,,,parasol
55,121,2017,5,36,5,7,11,2,12,7.95,blue,,polkadot,garden,,,parasol
12,121,2017,6,55,6,8,11,3,36,7.95,blue,,polkadot,garden,,,parasol
19,121,2017,7,12,1,7,2,1,55,7.95,blue,,polkadot,garden,,,parasol
2,121,2017,8,19,4,4,10,2,12,7.95,blue,,polkadot,garden,,,parasol
1,121,2017,9,2,1,2,1,1,19,7.95,blue,,polkadot,garden,,,parasol
2,121,2017,10,1,1,1,1,1,2,7.95,blue,,polkadot,garden,,,parasol
6,122,2017,1,3,3,1,3,3,1,7.95,pink,,polkadot,garden,,,parasol
11,122,2017,3,6,3,2,4,2,3,7.95,pink,,polkadot,garden,,,parasol
22,122,2017,4,11,2,5,4,1,6,7.95,pink,,polkadot,garden,,,parasol
42,122,2017,5,22,2,11,6,1,11,7.95,pink,,polkadot,garden,,,parasol
7,122,2017,6,42,5,8,20,1,22,7.95,pink,,polkadot,garden,,,parasol
21,122,2017,7,7,2,3,3,2,42,7.95,pink,,polkadot,garden,,,parasol
1,122,2017,8,21,4,5,10,1,7,7.95,pink,,polkadot,garden,,,parasol
1,122,2017,9,1,1,1,1,1,21,7.95,pink,,polkadot,garden,,,parasol
8,123,2017,3,13,6,2,11,2,4,7.95,cream,,,ice,garden,,parasol
84,123,2017,4,8,2,3,5,1,13,7.95,cream,,,ice,garden,,parasol
54,123,2017,5,84,14,6,31,2,8,7.95,cream,,,ice,garden,,parasol
25,123,2017,6,54,13,4,30,1,84,7.95,cream,,,ice,garden,,parasol
4,123,2017,7,25,6,4,10,2,54,7.95,cream,,,ice,garden,,parasol
1,123,2017,8,4,2,2,2,2,25,7.95,cream,,,ice,garden,,parasol
16,124,2017,1,38,3,10,12,1,46,2.95,,,fairy,cake,,,umbrella
16,124,2017,2,16,3,5,4,1,38,2.95,,,fairy,cake,,,umbrella
3,124,2017,3,16,3,5,4,1,16,2.95,,,fairy,cake,,,umbrella
29,124,2017,4,3,1,2,2,1,16,2.95,,,fairy,cake,,,umbrella
12,124,2017,5,29,4,6,8,1,3,2.95,,,fairy,cake,,,umbrella
43,124,2017,6,12,2,5,5,1,29,2.95,,,fairy,cake,,,umbrella
93,124,2017,7,43,4,9,13,2,12,2.95,,,fairy,cake,,,umbrella
75,124,2017,8,93,9,10,60,1,43,2.95,,,fairy,cake,,,umbrella
22,124,2017,9,75,5,13,12,1,93,2.95,,,fairy,cake,,,umbrella
18,124,2017,10,22,2,8,4,1,75,2.95,,,fairy,cake,,,umbrella
72,125,2017,2,20,20,1,20,20,14,0.12,,small,,folding,scissor,,edge
240,125,2017,3,72,72,1,72,72,20,0.12,,small,,folding,scissor,,edge
49,125,2017,4,240,240,1,240,240,72,0.12,,small,,folding,scissor,,edge
128,125,2017,6,49,16,3,36,1,240,0.12,,small,,folding,scissor,,edge
458,125,2017,7,128,16,8,48,1,49,0.12,,small,,folding,scissor,,edge
268,125,2017,8,458,76,6,288,2,128,0.12,,small,,folding,scissor,,edge
342,125,2017,9,268,26,10,48,4,458,0.12,,small,,folding,scissor,,edge
941,125,2017,10,342,42,8,96,12,268,0.12,,small,,folding,scissor,,edge
6,126,2017,2,12,12,1,12,12,12,0.12,,,,folding,camping,scissor,knif
96,127,2017,1,191,47,4,120,23,94,0.21,,,animal,stickers,,,
147,127,2017,2,96,48,2,48,48,191,0.21,,,animal,stickers,,,
195,127,2017,3,147,49,3,120,3,96,0.21,,,animal,stickers,,,
64,127,2017,4,195,65,3,168,2,147,0.21,,,animal,stickers,,,
54,127,2017,5,64,32,2,40,24,195,0.21,,,animal,stickers,,,
189,127,2017,6,54,27,2,50,4,64,0.21,,,animal,stickers,,,
192,127,2017,7,189,47,4,129,12,54,0.21,,,animal,stickers,,,
48,127,2017,8,192,38,5,48,24,189,0.21,,,animal,stickers,,,
119,127,2017,9,48,24,2,24,24,192,0.21,,,animal,stickers,,,
359,127,2017,10,119,29,4,88,1,48,0.21,,,animal,stickers,,,
48,128,2017,1,96,32,3,48,24,120,0.21,,,,food,drink,sponge,stickers
384,128,2017,2,48,24,2,24,24,96,0.21,,,,food,drink,sponge,stickers
28,128,2017,3,384,128,3,192,48,48,0.21,,,,food,drink,sponge,stickers
133,128,2017,4,28,14,2,24,4,384,0.21,,,,food,drink,sponge,stickers
24,128,2017,5,133,44,3,85,24,28,0.21,,,,food,drink,sponge,stickers
170,128,2017,6,24,24,1,24,24,133,0.21,,,,food,drink,sponge,stickers
24,128,2017,7,170,42,4,72,24,24,0.21,,,,food,drink,sponge,stickers
168,128,2017,9,24,24,1,24,24,170,0.21,,,,food,drink,sponge,stickers
1501,129,2017,1,10,10,1,10,10,1029,0.42,,small,chinese,scissor,,,
1060,129,2017,2,1501,750,2,1500,1,10,0.42,,small,chinese,scissor,,,
23,129,2017,3,1060,530,2,1000,60,1501,0.42,,small,chinese,scissor,,,
2771,129,2017,4,23,7,3,10,3,1060,0.42,,small,chinese,scissor,,,
32,129,2017,5,2771,395,7,2001,20,23,0.42,,small,chinese,scissor,,,
60,129,2017,6,32,16,2,20,12,2771,0.42,,small,chinese,scissor,,,
2065,129,2017,7,60,20,3,20,20,32,0.42,,small,chinese,scissor,,,
1061,129,2017,8,2065,344,6,2004,1,60,0.42,,small,chinese,scissor,,,
40,129,2017,9,1061,212,5,1000,1,2065,0.42,,small,chinese,scissor,,,
3606,129,2017,10,40,13,3,20,10,1061,0.42,,small,chinese,scissor,,,
101,130,2017,1,20,20,1,20,20,21,0.5,,medium,chinese,scissor,,,
70,130,2017,2,101,50,2,100,1,20,0.5,,medium,chinese,scissor,,,
303,130,2017,3,70,35,2,60,10,101,0.5,,medium,chinese,scissor,,,
43,130,2017,4,303,101,3,283,10,70,0.5,,medium,chinese,scissor,,,
30,130,2017,5,43,14,3,30,1,303,0.5,,medium,chinese,scissor,,,
24,130,2017,6,30,15,2,20,10,43,0.5,,medium,chinese,scissor,,,
20,130,2017,8,24,8,3,10,4,30,0.5,,medium,chinese,scissor,,,
30,130,2017,10,20,10,2,10,10,24,0.5,,medium,chinese,scissor,,,
323,131,2017,1,40,13,3,20,10,28,0.85,,,chinese,scissor,,,
70,131,2017,2,323,80,4,210,1,40,0.85,,,chinese,scissor,,,
133,131,2017,3,70,35,2,60,10,323,0.85,,,chinese,scissor,,,
122,131,2017,4,133,26,5,100,3,70,0.85,,,chinese,scissor,,,
110,131,2017,5,122,24,5,50,10,133,0.85,,,chinese,scissor,,,
72,131,2017,6,110,22,5,60,10,122,0.85,,,chinese,scissor,,,
65,131,2017,7,72,12,6,30,2,110,0.85,,,chinese,scissor,,,
50,131,2017,8,65,10,6,30,1,72,0.85,,,chinese,scissor,,,
40,131,2017,9,50,12,4,20,10,65,0.85,,,chinese,scissor,,,
140,131,2017,10,40,10,4,10,10,50,0.85,,,chinese,scissor,,,
480,133,2017,1,120,120,1,120,120,240,0.12,,mini,,highlighter,,,pens
1200,135,2017,3,200,100,2,100,100,100,0.04,,,popart-wooden,pencils,,,
2100,135,2017,6,1200,200,6,500,100,200,0.04,,,popart-wooden,pencils,,,
1000,135,2017,7,2100,190,11,900,100,1200,0.04,,,popart-wooden,pencils,,,
1400,135,2017,8,1000,125,8,200,100,2100,0.04,,,popart-wooden,pencils,,,
1700,135,2017,9,1400,155,9,500,100,1000,0.04,,,popart-wooden,pencils,,,
1000,135,2017,10,1700,170,10,300,100,1400,0.04,,,popart-wooden,pencils,,,
9,136,2017,2,4,4,1,4,4,10,0.85,,,,teatime,pen,,pens
2,136,2017,3,9,9,1,9,9,4,0.85,,,,teatime,pen,,pens
5,136,2017,4,2,2,1,2,2,9,0.85,,,,teatime,pen,,pens
1,136,2017,5,5,2,2,3,2,2,0.85,,,,teatime,pen,,pens
31,136,2017,6,1,1,1,1,1,5,0.85,,,,teatime,pen,,pens
3,136,2017,8,31,15,2,25,6,1,0.85,,,,teatime,pen,,pens
2,136,2017,10,3,3,1,3,3,31,0.85,,,,teatime,pen,,pens
96,137,2017,3,192,96,2,96,96,24,0.12,,,round,teatime,pencil,,sharpener
24,137,2017,4,96,96,1,96,96,192,0.12,,,round,teatime,pencil,,sharpener
288,137,2017,5,24,24,1,24,24,96,0.12,,,round,teatime,pencil,,sharpener
144,137,2017,6,288,72,4,144,24,24,0.12,,,round,teatime,pencil,,sharpener
192,137,2017,7,144,28,5,48,24,288,0.12,,,round,teatime,pencil,,sharpener
144,137,2017,8,192,27,7,48,24,144,0.12,,,round,teatime,pencil,,sharpener
210,137,2017,9,144,36,4,48,24,192,0.12,,,round,teatime,pencil,,sharpener
123,137,2017,10,210,30,7,72,7,144,0.12,,,round,teatime,pencil,,sharpener
395,139,2017,5,48,48,1,48,48,24,0.19,,,,teatime,push,,rubber
252,140,2017,6,108,36,3,36,36,2,0.12,,,popart,rect,pencil,,sharpener
74,140,2017,7,252,63,4,108,36,108,0.12,,,popart,rect,pencil,,sharpener
110,140,2017,8,74,24,3,36,2,252,0.12,,,popart,rect,pencil,,sharpener
254,140,2017,9,110,36,3,72,2,74,0.12,,,popart,rect,pencil,,sharpener
330,140,2017,10,254,50,5,108,2,110,0.12,,,popart,rect,pencil,,sharpener
50,142,2017,2,25,25,1,25,25,50,0.42,,,,wrap,,,carousel
50,142,2017,3,50,25,2,25,25,25,0.42,,,,wrap,,,carousel
50,142,2017,4,50,25,2,25,25,50,0.42,,,,wrap,,,carousel
25,142,2017,5,50,25,2,25,25,50,0.42,,,,wrap,,,carousel
100,142,2017,6,25,25,1,25,25,50,0.42,,,,wrap,,,carousel
50,142,2017,7,100,50,2,75,25,25,0.42,,,,wrap,,,carousel
25,142,2017,9,50,25,2,25,25,100,0.42,,,,wrap,,,carousel
275,143,2017,1,350,35,10,75,25,225,0.42,pink,,fairy,wrap,,,cakes
725,143,2017,2,275,39,7,75,25,350,0.42,pink,,fairy,wrap,,,cakes
775,143,2017,3,725,45,16,100,25,275,0.42,pink,,fairy,wrap,,,cakes
675,143,2017,4,775,86,9,475,25,725,0.42,pink,,fairy,wrap,,,cakes
275,143,2017,5,675,56,12,225,25,775,0.42,pink,,fairy,wrap,,,cakes
350,143,2017,6,275,34,8,75,25,675,0.42,pink,,fairy,wrap,,,cakes
200,143,2017,7,350,50,7,200,25,275,0.42,pink,,fairy,wrap,,,cakes
475,143,2017,8,200,28,7,50,25,350,0.42,pink,,fairy,wrap,,,cakes
900,143,2017,9,475,33,14,75,25,200,0.42,pink,,fairy,wrap,,,cakes
475,143,2017,10,900,100,9,625,25,475,0.42,pink,,fairy,wrap,,,cakes
75,144,2017,4,25,25,1,25,25,25,0.1,,,,wrap,bad,hair,day
150,144,2017,5,75,25,3,25,25,25,0.1,,,,wrap,bad,hair,day
50,144,2017,7,150,37,4,50,25,75,0.1,,,,wrap,bad,hair,day
175,144,2017,8,50,50,1,50,50,150,0.1,,,,wrap,bad,hair,day
50,144,2017,9,175,58,3,100,25,50,0.1,,,,wrap,bad,hair,day
125,144,2017,10,50,25,2,25,25,175,0.1,,,,wrap,bad,hair,day
400,146,2017,1,426,32,13,76,25,50,0.42,rose,,english,wrap,,,
525,146,2017,2,400,36,11,75,25,426,0.42,rose,,english,wrap,,,
700,146,2017,3,525,35,15,50,25,400,0.42,rose,,english,wrap,,,
400,146,2017,4,700,41,17,75,25,525,0.42,rose,,english,wrap,,,
1125,146,2017,5,400,33,12,50,25,700,0.42,rose,,english,wrap,,,
725,146,2017,6,1125,75,15,450,25,400,0.42,rose,,english,wrap,,,
625,146,2017,7,725,40,18,125,25,1125,0.42,rose,,english,wrap,,,
475,146,2017,8,625,48,13,125,25,725,0.42,rose,,english,wrap,,,
1000,146,2017,9,475,36,13,100,25,625,0.42,rose,,english,wrap,,,
525,146,2017,10,1000,55,18,175,25,475,0.42,rose,,english,wrap,,,
300,147,2017,1,300,33,9,50,25,100,0.42,,,,wrap,suki,,friends
325,147,2017,2,300,37,8,75,25,300,0.42,,,,wrap,suki,,friends
175,147,2017,3,325,29,11,50,25,300,0.42,,,,wrap,suki,,friends
450,147,2017,4,175,43,4,50,25,325,0.42,,,,wrap,suki,,friends
200,147,2017,5,450,34,13,75,25,175,0.42,,,,wrap,suki,,friends
325,147,2017,6,200,28,7,50,25,450,0.42,,,,wrap,suki,,friends
350,147,2017,7,325,32,10,50,25,200,0.42,,,,wrap,suki,,friends
325,147,2017,8,350,31,11,50,25,325,0.42,,,,wrap,suki,,friends
850,147,2017,9,325,40,8,100,25,350,0.42,,,,wrap,suki,,friends
300,147,2017,10,850,94,9,450,25,325,0.42,,,,wrap,suki,,friends
1,148,2017,7,3,1,2,2,1,5,0.65,,,,king,gift,,bag
8,148,2017,8,1,1,1,1,1,3,0.65,,,,king,gift,,bag
4,149,2017,9,12,4,3,5,3,10,0.42,,,,king,gift,,bag
24,150,2017,1,30,15,2,24,6,24,0.42,,medium,,monkey,gift,,bag
48,150,2017,2,24,24,1,24,24,30,0.42,,medium,,monkey,gift,,bag
24,150,2017,4,48,24,2,24,24,24,0.42,,medium,,monkey,gift,,bag
39,150,2017,5,24,24,1,24,24,48,0.42,,medium,,monkey,gift,,bag
68,150,2017,6,39,13,3,24,3,24,0.42,,medium,,monkey,gift,,bag
20,150,2017,7,68,17,4,28,6,39,0.42,,medium,,monkey,gift,,bag
28,150,2017,9,20,6,3,12,3,68,0.42,,medium,,monkey,gift,,bag
900,151,2017,8,325,32,10,75,25,100,0.42,,,christmas,wrap,,,
1237,151,2017,9,900,52,17,125,25,325,0.42,,,christmas,wrap,,,
1625,151,2017,10,1237,56,22,275,25,900,0.42,,,christmas,wrap,,,
25,152,2017,1,100,25,4,25,25,25,0.42,,,,wrap,,,folk
50,152,2017,5,25,25,1,25,25,100,0.42,,,,wrap,,,folk
135,153,2017,2,100,33,3,50,25,50,0.42,,,daisy,wrap,,,carpet
50,153,2017,3,135,27,5,35,25,100,0.42,,,daisy,wrap,,,carpet
50,153,2017,4,50,25,2,25,25,135,0.42,,,daisy,wrap,,,carpet
50,153,2017,5,50,25,2,25,25,50,0.42,,,daisy,wrap,,,carpet
50,153,2017,6,50,25,2,25,25,50,0.42,,,daisy,wrap,,,carpet
75,153,2017,8,50,25,2,25,25,50,0.42,,,daisy,wrap,,,carpet
25,153,2017,9,75,25,3,25,25,50,0.42,,,daisy,wrap,,,carpet
50,153,2017,10,25,25,1,25,25,75,0.42,,,daisy,wrap,,,carpet
2,160,2017,3,2,2,1,2,2,2,2.95,pink-strawberry,,,handbag,,,
6,160,2017,5,2,2,1,2,2,2,2.95,pink-strawberry,,,handbag,,,
1,160,2017,10,6,6,1,6,6,2,2.95,pink-strawberry,,,handbag,,,
35,162,2017,2,10,5,2,5,5,20,0.06,,,,letter,pencil,,sharpener
265,162,2017,3,35,17,2,25,10,10,0.06,,,,letter,pencil,,sharpener
5,162,2017,4,265,66,4,160,5,35,0.06,,,,letter,pencil,,sharpener
1716,162,2017,5,5,5,1,5,5,265,0.06,,,,letter,pencil,,sharpener
400,162,2017,6,1716,343,5,1600,5,5,0.06,,,,letter,pencil,,sharpener
166,162,2017,7,400,133,3,160,80,1716,0.06,,,,letter,pencil,,sharpener
195,162,2017,9,166,83,2,160,6,400,0.06,,,,letter,pencil,,sharpener
394,162,2017,10,195,39,5,80,5,166,0.06,,,,letter,pencil,,sharpener
